Struthio camelus,Ostrich,TC000001
Rhea americana,Greater Rhea,TC000004
Rhea pennata,Lesser Rhea,TC000005
Casuarius casuarius,Southern Cassowary,TC000008
Casuarius bennetti,Dwarf Cassowary,TC000009
Casuarius unappendiculatus,Northern Cassowary,TC000010
Dromaius novaehollandiae,Emu,TC000011
Dromaius ater,King Island Emu,TC000012
Dromaius baudinianus,Kangaroo Island Emu,TC013396
Apteryx australis,Southern Brown Kiwi,TC000013
Apteryx rowi,Okarito Brown Kiwi,TC000014
Apteryx mantelli,North Island Brown Kiwi,TC000015
Apteryx owenii,Little Spotted Kiwi,TC000016
Apteryx haastii,Great Spotted Kiwi,TC000017
Nothocercus julius,Tawny-breasted Tinamou,TC000018
Nothocercus bonapartei,Highland Tinamou,TC000019
Nothocercus nigrocapillus,Hooded Tinamou,TC000022
Tinamus tao,Gray Tinamou,TC000023
Tinamus solitarius,Solitary Tinamou,TC000024
Tinamus osgoodi,Black Tinamou,TC000025
Tinamus major,Great Tinamou,TC000026
Tinamus guttatus,White-throated Tinamou,TC000027
Crypturellus cinereus,Cinereous Tinamou,TC000029
Crypturellus berlepschi,Berlepsch's Tinamou,TC000030
Crypturellus soui,Little Tinamou,TC000031
Crypturellus ptaritepui,Tepui Tinamou,TC000032
Crypturellus obsoletus,Brown Tinamou,TC000033
Crypturellus undulatus,Undulated Tinamou,TC000034
Crypturellus transfasciatus,Pale-browed Tinamou,TC000035
Crypturellus strigulosus,Brazilian Tinamou,TC000036
Crypturellus duidae,Gray-legged Tinamou,TC000037
Crypturellus erythropus,Red-legged Tinamou,TC000038
Crypturellus noctivagus,Yellow-legged Tinamou,TC000039
Crypturellus atrocapillus,Black-capped Tinamou,TC000040
Crypturellus boucardi,Slaty-breasted Tinamou,TC000041
Crypturellus kerriae,Choco Tinamou,TC000042
Crypturellus variegatus,Variegated Tinamou,TC000043
Crypturellus cinnamomeus,Thicket Tinamou,TC000044
Crypturellus brevirostris,Rusty Tinamou,TC000045
Crypturellus bartletti,Bartlett's Tinamou,TC000046
Crypturellus parvirostris,Small-billed Tinamou,TC000047
Crypturellus casiquiare,Barred Tinamou,TC000048
Crypturellus tataupa,Tataupa Tinamou,TC000049
Rhynchotus rufescens,Red-winged Tinamou,TC000051
Rhynchotus maculicollis,Huayco Tinamou,TC000052
Nothoprocta taczanowskii,Taczanowski's Tinamou,TC000053
Nothoprocta ornata,Ornate Tinamou,TC000054
Nothoprocta perdicaria,Chilean Tinamou,TC000055
Nothoprocta cinerascens,Brushland Tinamou,TC000056
Nothoprocta pentlandii,Andean Tinamou,TC000057
Nothoprocta curvirostris,Curve-billed Tinamou,TC000058
Nothura boraquira,White-bellied Nothura,TC000060
Nothura minor,Lesser Nothura,TC000061
Nothura darwinii,Darwin's Nothura,TC000062
Nothura maculosa,Spotted Nothura,TC000063
